name,company,place,salary,education,experience,label,scale,href,key_word,salary_avg,experience_years,education_level,scale_value,cluster
Python开发工程师,华路时代,北京-东城区,14-20k,本科,3-5年,华路时代 新三板上市,500-999人,https://www.liepin.com/job/1975266517.shtml,Python,17.0,4.0,3,3,4
Python开发工程师(A181102),金果未来(北京)数字科技有限公司,北京-东城区,18-28k,统招本科,5-10年,金果未来(北京)数字科技有限公司 不需要融资,100-499人,https://www.liepin.com/job/1974565227.shtml,Python,23.0,7.5,3,2,3
Python开发工程师,,北京-海淀区,9-15k,本科,2-5年,北京人和创建信息技术有限公司 天使轮,500-999人,https://www.liepin.com/job/1974476473.shtml,Python,12.0,3.5,3,3,4
Python开发工程师（短期3个月-中电云AI项目）,联想教育,北京-朝阳区,15-16k,大专,3-5年,联想教育,100-499人,https://www.liepin.com/job/1973713823.shtml,Python,15.5,4.0,2,2,4
Python开发工程师,某大型专业技术服务公司,北京-朝阳区,14-18k,统招本科,3-5年,某大型专业技术服务公司 融资未公开,10000人以上,https://www.liepin.com/a/70706941.shtml,Python,16.0,4.0,3,5,1
Python工程师,某深圳大型通信设备公司,北京,14-28k,本科,经验不限,某深圳大型通信设备公司 战略融资,10000人以上,https://www.liepin.com/a/70991537.shtml,Python,21.0,0.5,3,5,2
Python后端开发,,北京-海淀区,15-30k·14薪,统招本科,经验不限,人力资源服务 已上市,10000人以上,https://www.liepin.com/a/69494535.shtml,Python,22.5,0.5,3,5,2
Python开发工程师（中后台业务系统）,某北京基金/证券/期货公司,北京,40-70k·16薪,统招本科,经验不限,某北京基金/证券/期货公司 融资未公开,100-499人,https://www.liepin.com/a/70363623.shtml,Python,55.0,0.5,3,2,2
Python开发工程师,某深圳大型通信设备公司,北京-海淀区,15-30k·14薪,本科,经验不限,某深圳大型通信设备公司 战略融资,10000人以上,https://www.liepin.com/a/70564337.shtml,Python,22.5,0.5,3,5,2
Python后端工程师（上市公司/Agent项目）,,北京,30-50k,统招本科,经验不限,计算机软件 已上市,5000-10000人,https://www.liepin.com/a/70684293.shtml,Python,40.0,0.5,3,5,2
Python数据开发工程师,某基金/证券/期货公司,北京,25-45k·15薪,学历不限,3-5年,某基金/证券/期货公司 融资未公开,100-499人,https://www.liepin.com/a/70555785.shtml,Python,35.0,4.0,0,2,0
后端开发（java golang python),某上海其他商务服务业公司,北京,75-85k,本科,3-8年,某上海其他商务服务业公司,1-49人,https://www.liepin.com/a/70564845.shtml,Python,80.0,5.5,3,0,5
Python开发（量化-base北上杭深港）,百亿量化私募公司,北京,35-65k·19薪,本科,经验不限,百亿量化私募公司 融资未公开,100-499人,https://www.liepin.com/a/67264759.shtml,Python,50.0,0.5,3,2,2
Python,某北京基金/证券/期货公司,北京,20-40k,统招本科,经验不限,某北京基金/证券/期货公司 融资未公开,100-499人,https://www.liepin.com/a/70426675.shtml,Python,30.0,0.5,3,2,2
Python开发工程师,亚信科技,北京-海淀区,15-22k·13薪,本科,3年以上,亚信科技 港股上市,10000人以上,https://www.liepin.com/job/1974571953.shtml,Python,18.5,3.0,3,5,1
Python后端开发工程师,纬创软件,北京-顺义区,18-21k,本科,5-10年,纬创软件,5000-10000人,https://www.liepin.com/job/1979131439.shtml,Python,19.5,7.5,3,5,1
头部互联网公司Python开发/薪资25-40k/15-18薪,,北京-朝阳区,25-40k·15薪,统招本科,经验不限,科技金融 已上市,500-999人,https://www.liepin.com/a/70118743.shtml,Python,32.5,0.5,3,3,2
高级 python 数据开发工程师,某上海基金/证券/期货公司,北京,80-100k,硕士,3-5年,某上海基金/证券/期货公司,1-49人,https://www.liepin.com/a/70821051.shtml,Python,90.0,4.0,4,0,5
Python工程师,某知名公司,北京,20-40k,统招本科,经验不限,某知名公司 已上市,2000-5000人,https://www.liepin.com/a/69589995.shtml,Python,30.0,0.5,3,0,2
后端开发工程师（go/python）,某北京基金/证券/期货公司,北京,30-45k·16薪,本科,经验不限,某北京基金/证券/期货公司 融资未公开,100-499人,https://www.liepin.com/a/70708031.shtml,Python,37.5,0.5,3,2,2
Python爬虫工程师,某成都互联网公司,北京,20-40k,本科,3-5年,某成都互联网公司 融资未公开,100-499人,https://www.liepin.com/a/70594899.shtml,Python,30.0,4.0,3,2,4
python开发工程师 （双休 十四薪 大厂）,,北京,14-28k·14薪,本科,经验不限,某武汉大型人力资源服务公司 融资未公开,2000-5000人,https://www.liepin.com/a/70263183.shtml,Python,21.0,0.5,3,0,4
python开发工程师,某北京基金证券公司,北京,30-60k·16薪,统招本科,经验不限,某北京基金证券公司 融资未公开,100-499人,https://www.liepin.com/a/70432695.shtml,Python,45.0,0.5,3,2,2
Python（大模型）,,北京,30-60k,本科,经验不限,翻译服务 已上市,500-999人,https://www.liepin.com/a/70892101.shtml,Python,45.0,0.5,3,3,2
后端开发leader(python),某北京大型互联网公司,北京-海淀区,55-75k·16薪,本科,5-10年,某北京大型互联网公司,10000人以上,https://www.liepin.com/a/70296461.shtml,Python,65.0,7.5,3,5,1
python,某北京大型游戏公司,北京-朝阳区,20-40k,本科,3-5年,某北京大型游戏公司 融资未公开,5000-10000人,https://www.liepin.com/a/69541695.shtml,Python,30.0,4.0,3,5,1
高级数据开发工程师/专家（Python）,某北京基金/证券/期货公司,北京,40-70k·16薪,统招本科,3-5年,某北京基金/证券/期货公司 融资未公开,100-499人,https://www.liepin.com/a/70363573.shtml,Python,55.0,4.0,3,2,1
量化开发（Python/C++，应届/实习/全职）,某北京基金/证券/期货公司,北京,35-65k·15薪,统招本科,经验不限,某北京基金/证券/期货公司 不需要融资,50-99人,https://www.liepin.com/a/70390895.shtml,Python,50.0,0.5,3,0,2
JAVA、C、C++、PYTHON基础开发岗位，测试岗位。,某深圳大型通信设备公司,北京,15-30k·14薪,统招本科,10年以下,某深圳大型通信设备公司 战略融资,10000人以上,https://www.liepin.com/a/70664707.shtml,Python,22.5,10.0,3,5,1
Python开发工程师（ 大厂 试用期全薪）,某深圳大型通信设备公司,北京-海淀区,20-40k·14薪,本科,经验不限,某深圳大型通信设备公司 战略融资,10000人以上,https://www.liepin.com/a/69353483.shtml,Python,30.0,0.5,3,5,2
Python开发工程师,京东科技集团,北京-通州区,20-40k·20薪,本科,3-5年,京东科技集团,10000人以上,https://www.liepin.com/job/1976390849.shtml,Python,30.0,4.0,3,5,1
算法工程师-python,,北京,30-50k·13薪,硕士,2年以上,计算机软件 已上市,5000-10000人,https://www.liepin.com/a/70592359.shtml,Python,40.0,2.0,4,5,1
软件开发工程师(Java/Python/C/C++/Go/JS),某深圳大型通信设备公司,北京-海淀区,18-25k·14薪,统招本科,经验不限,某深圳大型通信设备公司 战略融资,10000人以上,https://www.liepin.com/a/69058027.shtml,Python,21.5,0.5,3,5,2
Python开发工程师,某深圳世界500强公司,北京,15-30k·14薪,统招本科,经验不限,某深圳世界500强公司 战略融资,10000人以上,https://www.liepin.com/a/71082687.shtml,Python,22.5,0.5,3,5,2
Python开发工程师,某北京大型互联网公司,北京-海淀区,22-28k,硕士,经验不限,某北京大型互联网公司 融资未公开,1000-2000人,https://www.liepin.com/a/70705983.shtml,Python,25.0,0.5,4,0,2
Python开发工程师,,北京,20-40k·15薪,统招本科,3-10年,某北京人工智能公司 A轮,1-49人,https://www.liepin.com/a/71404013.shtml,Python,30.0,6.5,3,0,3
【头部量化基金】数据开发专家，需精通 Python+Numpy+Pandas,某北京基金/证券/期货公司,北京-海淀区,30-60k·18薪,统招本科,经验不限,某北京基金/证券/期货公司 融资未公开,100-499人,https://www.liepin.com/a/66479311.shtml,Python,45.0,0.5,3,2,2
Python开发工程师,某上海大型专业服务公司,北京,15-30k,统招本科,经验不限,某上海大型专业服务公司 融资未公开,10000人以上,https://www.liepin.com/a/70851959.shtml,Python,22.5,0.5,3,5,2
Python开发工程师,,北京,30-40k·16薪,学历不限,3-5年,互联网 已上市,10000人以上,https://www.liepin.com/a/69670811.shtml,Python,35.0,4.0,0,5,0
Python开发工程师,某大型通信设备公司,北京-海淀区,12-24k,学历不限,经验不限,某大型通信设备公司 战略融资,10000人以上,https://www.liepin.com/a/71158735.shtml,Python,18.0,0.5,0,5,0
中高级python开发,某北京互联网公司,北京-石景山区,20-40k,大专,经验不限,某北京互联网公司 天使轮,50-99人,https://www.liepin.com/a/70639521.shtml,Python,30.0,0.5,2,0,2
Python后端开发工程师,知名外企,北京-海淀区,15-30k·14薪,本科,1-3年,知名外企 融资未公开,10000人以上,https://www.liepin.com/a/70192013.shtml,Python,22.5,2.0,3,5,1
Python后端开发工程师,某北京专业技术服务公司,北京,12-17k·14薪,统招本科,经验不限,某北京专业技术服务公司 A轮,1-49人,https://www.liepin.com/a/71143491.shtml,Python,14.5,0.5,3,0,4
Python数据开发工程师,某知名公司,北京,30-60k·14薪,统招本科,经验不限,某知名公司 融资未公开,100-499人,https://www.liepin.com/a/71138899.shtml,Python,45.0,0.5,3,2,2
Python开发工程师（算法）,某上海大型专业服务公司,北京,15-30k,统招本科,经验不限,某上海大型专业服务公司 融资未公开,10000人以上,https://www.liepin.com/a/70853561.shtml,Python,22.5,0.5,3,5,2
